name,frame,ra,dec,band_idx,wavelength,receiver,flux_jy,uvmin_kl,uvmax_kl,cfg_A,cfg_B,cfg_C,cfg_D
1728+122,J2000,17h28m07.051218s,"12d15'39.486000""",4,0.7cm,Q,0.33,,,W,W,W,W
1728+502,J2000,17h28m18.623853s,"50d13'10.470010""",0,20cm,L,0.19,10.0,,W,W,X,X
1728+502,J2000,17h28m18.623853s,"50d13'10.470010""",1,6cm,C,0.17,,,W,W,W,W
1728+502,J2000,17h28m18.623853s,"50d13'10.470010""",2,3.7cm,X,0.17,,,S,S,S,S
1728+502,J2000,17h28m18.623853s,"50d13'10.470010""",3,2cm,U,0.2,,,X,X,X,X
1728+502,J2000,17h28m18.623853s,"50d13'10.470010""",4,1.3cm,K,0.12,,,X,X,X,X
1728+502,J2000,17h28m18.623853s,"50d13'10.470010""",5,0.7cm,Q,0.11,,,W,W,W,W
1728+044,J2000,17h28m24.952716s,"04d27'04.914010""",0,20cm,L,0.7,,,S,S,S,S
1728+044,J2000,17h28m24.952716s,"04d27'04.914010""",1,6cm,C,0.9,,,P,P,P,P
1728+044,J2000,17h28m24.952716s,"04d27'04.914010""",2,3.7cm,X,0.77,,,P,P,P,P
1728+044,J2000,17h28m24.952716s,"04d27'04.914010""",3,2cm,U,0.8,,,S,S,S,S
1728+044,J2000,17h28m24.952716s,"04d27'04.914010""",4,0.7cm,Q,1.1,,,S,S,S,S
1728+386,J2000,17h28m59.1417s,"38d38'26.457""",0,0.7cm,Q,0.14,,,W,W,W,W
1730+004,J2000,17h30m34.9985s,"00d24'38.673""",0,0.7cm,Q,0.16,,,W,W,W,W
1733-130,J2000,17h33m02.705790s,"-13d04'49.548230""",0,20cm,L,5.2,40.0,3.0,S,X,X,P
1733-130,J2000,17h33m02.705790s,"-13d04'49.548230""",1,6cm,C,5.0,,,P,P,P,P
1733-130,J2000,17h33m02.705790s,"-13d04'49.548230""",2,3.7cm,X,10.5,15.0,,P,P,S,S
1733-130,J2000,17h33m02.705790s,"-13d04'49.548230""",3,2cm,U,11.0,,,P,P,P,P
1733-130,J2000,17h33m02.705790s,"-13d04'49.548230""",4,0.7cm,Q,9.0,,,S,S,S,S
1733-373,J2000,17h33m15.1926s,"-37d22'32.396""",0,0.7cm,Q,0.77,,,S,S,S,S
1734+389,J2000,17h34m20.578534s,"38d57'51.443100""",0,20cm,L,0.9,,,P,P,S,S
1734+389,J2000,17h34m20.578534s,"38d57'51.443100""",1,6cm,C,1.2,,,P,P,P,P
1734+389,J2000,17h34m20.578534s,"38d57'51.443100""",2,3.7cm,X,1.5,,,P,P,P,P
1734+389,J2000,17h34m20.578534s,"38d57'51.443100""",3,2cm,U,1.22,,,P,P,P,P
1734+389,J2000,17h34m20.578534s,"38d57'51.443100""",4,0.7cm,Q,0.8,,,S,S,S,S
1734+094,J2000,17h34m58.376995s,"09d26'58.260060""",0,20cm,L,1.15,7.5,,P,P,S,X
1734+094,J2000,17h34m58.376995s,"09d26'58.260060""",1,6cm,C,0.81,,,P,P,P,P
1734+094,J2000,17h34m58.376995s,"09d26'58.260060""",2,3.7cm,X,0.48,,,S,S,S,S
1734+094,J2000,17h34m58.376995s,"09d26'58.260060""",3,2cm,U,0.3,,,S,S,S,S
1734+094,J2000,17h34m58.376995s,"09d26'58.260060""",4,0.7cm,Q,0.0,,,X,X,X,X
1735+362,J2000,17h35m48.086675s,"36d16'45.611390""",0,20cm,L,0.42,15.0,,S,S,X,X
1735+362,J2000,17h35m48.086675s,"36d16'45.611390""",1,6cm,C,0.48,,,S,S,S,S
1735+362,J2000,17h35m48.086675s,"36d16'45.611390""",2,3.7cm,X,0.93,,,P,P,P,P
1735+362,J2000,17h35m48.086675s,"36d16'45.611390""",3,0.7cm,Q,0.27,,,W,W,W,W
1735+508,J2000,17h35m49.005180s,"50d49'11.565860""",0,20cm,L,0.43,10.0,,X,X,X,X
1735+508,J2000,17h35m49.005180s,"50d49'11.565860""",1,6cm,C,0.8,,,S,S,S,S
1735+508,J2000,17h35m49.005180s,"50d49'11.565860""",2,3.7cm,X,0.99,,,P,P,P,P
1735+508,J2000,17h35m49.005180s,"50d49'11.565860""",3,2cm,U,0.7,,,S,S,S,S
1735+508,J2000,17h35m49.005180s,"50d49'11.565860""",4,1.3cm,K,0.62,,,S,S,S,S
1735+508,J2000,17h35m49.005180s,"50d49'11.565860""",5,0.7cm,Q,0.38,,,W,W,W,W
1737+063,J2000,17h37m13.729042s,"06d21'03.572370""",0,20cm,L,1.08,,,P,P,S,S
1737+063,J2000,17h37m13.729042s,"06d21'03.572370""",1,6cm,C,0.7,,,P,P,P,P
1737+063,J2000,17h37m13.729042s,"06d21'03.572370""",2,3.7cm,X,0.5,,,S,S,S,S
1737+063,J2000,17h37m13.729042s,"06d21'03.572370""",3,2cm,U,0.5,,,S,S,S,S
1737+063,J2000,17h37m13.729042s,"06d21'03.572370""",4,0.7cm,Q,0.6,,,W,W,W,W
1738+324,J2000,17h38m40.5048s,"32d24'09.065""",0,0.7cm,Q,0.1,,,W,W,W,W
1739+499,J2000,17h39m27.390494s,"49d55'03.368280""",0,20cm,L,0.75,60.0,,S,X,X,X
1739+499,J2000,17h39m27.390494s,"49d55'03.368280""",1,6cm,C,0.62,,,S,S,S,S
1739+499,J2000,17h39m27.390494s,"49d55'03.368280""",2,3.7cm,X,0.5,,,P,P,P,P
1739+499,J2000,17h39m27.390494s,"49d55'03.368280""",3,2cm,U,0.6,,,S,S,S,S
1739+499,J2000,17h39m27.390494s,"49d55'03.368280""",4,0.7cm,Q,0.95,,,S,S,S,S
1739+339,J2000,17h39m35.3649s,"33d58'08.217""",0,0.7cm,Q,0.1,,,W,W,W,W
1739+476,J2000,17h39m57.129066s,"47d37'58.361210""",0,20cm,L,1.2,8.0,,P,P,S,X
1739+476,J2000,17h39m57.129066s,"47d37'58.361210""",1,6cm,C,0.9,,,P,P,P,P
1739+476,J2000,17h39m57.129066s,"47d37'58.361210""",2,3.7cm,X,0.94,,,P,P,P,P
1739+476,J2000,17h39m57.129066s,"47d37'58.361210""",3,2cm,U,0.9,,,S,S,S,S
1739+476,J2000,17h39m57.129066s,"47d37'58.361210""",4,0.7cm,Q,0.48,,,W,W,W,W
1740+221,J2000,17h40m05.8618s,"22d11'00.951""",0,0.7cm,Q,0.28,,,W,W,W,W
1740+521,J2000,17h40m36.977850s,"52d11'43.407500""",0,20cm,L,0.9,6.0,,S,S,S,X
1740+521,J2000,17h40m36.977850s,"52d11'43.407500""",1,6cm,C,0.9,,,P,P,P,P
1740+521,J2000,17h40m36.977850s,"52d11'43.407500""",2,3.7cm,X,1.6,,,P,P,P,P
1740+521,J2000,17h40m36.977850s,"52d11'43.407500""",3,2cm,U,0.8,,,S,S,S,S
1740+521,J2000,17h40m36.977850s,"52d11'43.407500""",4,0.7cm,Q,0.9,,,S,S,S,S
1740+438,J2000,17h40m48.9515s,"43d48'16.158""",0,0.7cm,Q,0.1,,,W,W,W,W
1743-309,J2000,17h43m17.8801s,"-30d58'17.697""",0,3.7cm,X,0.22,,,S,S,S,S
1743-309,J2000,17h43m17.8801s,"-30d58'17.697""",1,2cm,U,0.18,,,W,W,W,W
1743-309,J2000,17h43m17.8801s,"-30d58'17.697""",2,0.7cm,Q,0.1,,,X,X,X,X
1743+195,J2000,17h43m57.8338s,"19d35'09.028""",0,0.7cm,Q,0.11,,,W,W,W,W
1743+377,J2000,17h43m47.6465s,"37d47'53.826""",0,0.7cm,Q,0.24,,,W,W,W,W
1743-038,J2000,17h43m58.856137s,"-03d50'04.616680""",0,20cm,L,1.55,,,P,P,S,S
1743-038,J2000,17h43m58.856137s,"-03d50'04.616680""",1,6cm,C,2.7,,,P,P,P,P
1743-038,J2000,17h43m58.856137s,"-03d50'04.616680""",2,3.7cm,X,3.8,,,P,P,P,P
1743-038,J2000,17h43m58.856137s,"-03d50'04.616680""",3,2cm,U,3.8,,,P,P,P,P
1743-038,J2000,17h43m58.856137s,"-03d50'04.616680""",4,1.3cm,K,3.81,,,P,P,P,P
1743-038,J2000,17h43m58.856137s,"-03d50'04.616680""",5,0.7cm,Q,5.1,,,S,S,S,S
1744-312,J2000,17h44m23.5826s,"-31d16'35.986""",0,20cm,L,0.2,,,X,X,X,X
1744-312,J2000,17h44m23.5826s,"-31d16'35.986""",1,6cm,C,0.42,10.0,,S,S,S,X
1744-312,J2000,17h44m23.5826s,"-31d16'35.986""",2,3.7cm,X,0.58,5.0,,S,S,S,S
1744-312,J2000,17h44m23.5826s,"-31d16'35.986""",3,2cm,U,0.59,,,S,S,S,S
1744-312,J2000,17h44m23.5826s,"-31d16'35.986""",4,0.7cm,Q,0.67,,,S,S,S,S
1744+402,J2000,17h44m25.095896s,"40d14'48.140800""",0,20cm,L,0.95,6.0,,P,P,S,X
1744+402,J2000,17h44m25.095896s,"40d14'48.140800""",1,6cm,C,0.46,,,S,S,S,S
1744+402,J2000,17h44m25.095896s,"40d14'48.140800""",2,3.7cm,X,0.28,,,S,S,S,S
1745-078,J2000,17h45m27.1040s,"-07d53'03.600""",0,20cm,L,0.93,6.0,,P,P,S,X
1745-078,J2000,17h45m27.1040s,"-07d53'03.600""",1,3.7cm,X,0.64,,,P,P,P,P
1745-078,J2000,17h45m27.1040s,"-07d53'03.600""",2,0.7cm,Q,0.45,,,W,W,W,W
1745+173,J2000,17h45m35.208181s,"17d20'01.423410""",0,20cm,L,1.1,,,P,P,S,S
1745+173,J2000,17h45m35.208181s,"17d20'01.423410""",1,6cm,C,1.1,,,P,P,P,P
1745+173,J2000,17h45m35.208181s,"17d20'01.423410""",2,3.7cm,X,0.96,,,P,P,P,P
1745+173,J2000,17h45m35.208181s,"17d20'01.423410""",3,2cm,U,0.7,,,P,P,P,P
1745+173,J2000,17h45m35.208181s,"17d20'01.423410""",4,0.7cm,Q,0.5,,,W,W,W,W
1745+228,J2000,17h45m04.6676s,"22d52'48.045""",0,0.7cm,Q,0.13,,,W,W,W,W
1745-290,J2000,17h45m40.0383s,"-29d00'28.069""",0,3.7cm,X,2.0,40.0,,,,X,X
1745-290,J2000,17h45m40.0383s,"-29d00'28.069""",1,2cm,U,1.0,40.0,,,,X,X
1745-290,J2000,17h45m40.0383s,"-29d00'28.069""",2,1.3cm,K,1.0,40.0,,S,S,S,X
1745-290,J2000,17h45m40.0383s,"-29d00'28.069""",3,0.7cm,Q,1.1,50.0,,S,S,S,X
1746+624,J2000,17h46m14.034146s,"62d26'54.738420""",0,20cm,L,0.7,,,X,X,X,X
1746+624,J2000,17h46m14.034146s,"62d26'54.738420""",1,6cm,C,0.57,,15.0,X,X,X,S
1746+624,J2000,17h46m14.034146s,"62d26'54.738420""",2,3.7cm,X,0.61,,20.0,X,X,X,S
1746+624,J2000,17h46m14.034146s,"62d26'54.738420""",3,0.7cm,Q,0.19,,,W,W,W,W
1747+469,J2000,17h47m26.647281s,"46d58'50.926300""",0,20cm,L,0.39,30.0,,S,X,X,X
1747+469,J2000,17h47m26.647281s,"46d58'50.926300""",1,6cm,C,0.46,,,S,S,S,S
1747+469,J2000,17h47m26.647281s,"46d58'50.926300""",2,3.7cm,X,0.87,,,S,S,S,S
1747+469,J2000,17h47m26.647281s,"46d58'50.926300""",3,2cm,U,0.6,,,S,S,S,S
1747+469,J2000,17h47m26.647281s,"46d58'50.926300""",4,0.7cm,Q,0.4,,,W,W,W,W
1748+085,J2000,17h48m06.2607s,"08d32'19.282""",0,0.7cm,Q,0.12,,,W,W,W,W
1748+700,J2000,17h48m32.840231s,"70d05'50.768820""",0,20cm,L,0.78,,30.0,X,S,P,P
1748+700,J2000,17h48m32.840231s,"70d05'50.768820""",1,6cm,C,2.1,100.0,,S,S,X,X
1748+700,J2000,17h48m32.840231s,"70d05'50.768820""",2,3.7cm,X,0.42,400.0,100.0,S,X,S,S
1748+700,J2000,17h48m32.840231s,"70d05'50.768820""",3,2cm,U,0.5,,,S,S,S,S
1748+700,J2000,17h48m32.840231s,"70d05'50.768820""",4,0.7cm,Q,0.4,,,W,W,W,W
1749+197,J2000,17h49m05.4745s,"19d44'08.851""",0,0.7cm,Q,0.12,,,W,W,W,W
1749+433,J2000,17h49m00.360410s,"43d21'51.286880""",0,20cm,L,0.23,50.0,,W,X,X,X
1749+433,J2000,17h49m00.360410s,"43d21'51.286880""",1,6cm,C,0.3,,,S,S,S,S
1749+433,J2000,17h49m00.360410s,"43d21'51.286880""",2,3.7cm,X,0.29,,,S,S,S,S
1749+433,J2000,17h49m00.360410s,"43d21'51.286880""",3,2cm,U,0.3,,,W,W,W,W
1749+433,J2000,17h49m00.360410s,"43d21'51.286880""",4,0.7cm,Q,0.2,,,W,W,W,W
1751+096,J2000,17h51m32.818573s,"09d39'00.728510""",0,20cm,L,1.3,1.5,,P,P,S,S
1751+096,J2000,17h51m32.818573s,"09d39'00.728510""",1,6cm,C,1.8,,,P,P,P,P
1751+096,J2000,17h51m32.818573s,"09d39'00.728510""",2,3.7cm,X,2.0,,,P,P,P,P
1751+096,J2000,17h51m32.818573s,"09d39'00.728510""",3,2cm,U,4.5,,,P,P,P,P
1751+096,J2000,17h51m32.818573s,"09d39'00.728510""",4,0.7cm,Q,4.2,,,S,S,S,S
1751+293,J2000,17h51m42.6841s,"29d20'50.206""",0,0.7cm,Q,0.27,,,W,W,W,W
1751-253,J2000,17h51m51.263047s,"-25d24'00.060610""",0,20cm,L,1.3,3.0,,P,P,S,S
1751-253,J2000,17h51m51.263047s,"-25d24'00.060610""",1,6cm,C,0.5,3.0,,S,S,S,S
1751-253,J2000,17h51m51.263047s,"-25d24'00.060610""",2,3.7cm,X,0.27,3.0,,S,S,S,S
1751-253,J2000,17h51m51.263047s,"-25d24'00.060610""",3,2cm,U,0.13,,,W,W,W,W
1751-253,J2000,17h51m51.263047s,"-25d24'00.060610""",4,0.7cm,Q,0.0,,,X,X,X,X
1752+175,J2000,17h52m46.0035s,"17d34'20.343""",0,0.7cm,Q,0.25,,,W,W,W,W
1753+441,J2000,17h53m22.647901s,"44d09'45.686080""",0,20cm,L,0.0,,,X,X,X,X
1753+441,J2000,17h53m22.647901s,"44d09'45.686080""",1,6cm,C,0.9,,,P,P,P,P
1753+441,J2000,17h53m22.647901s,"44d09'45.686080""",2,3.7cm,X,0.75,,,P,P,P,P
1753+441,J2000,17h53m22.647901s,"44d09'45.686080""",3,2cm,U,0.8,,,S,S,S,S
1753+441,J2000,17h53m22.647901s,"44d09'45.686080""",4,0.7cm,Q,0.44,,,W,W,W,W
1753+288,J2000,17h53m42.473634s,"28d48'04.939080""",0,20cm,L,0.8,6.0,,P,P,S,X
1753+288,J2000,17h53m42.473634s,"28d48'04.939080""",1,6cm,C,0.7,,,P,P,P,P
1753+288,J2000,17h53m42.473634s,"28d48'04.939080""",2,3.7cm,X,0.55,,,P,P,P,P
1753+288,J2000,17h53m42.473634s,"28d48'04.939080""",3,2cm,U,0.6,,,S,S,S,S
1753+288,J2000,17h53m42.473634s,"28d48'04.939080""",4,0.7cm,Q,1.0,,,S,S,S,S
1755+338,J2000,17h55m11.2427s,"33d50'59.772""",0,0.7cm,Q,0.16,,,W,W,W,W
1755-225,J2000,17h55m26.2847s,"-22d32'10.593""",0,0.7cm,Q,0.32,,,W,W,W,W
1756+578,J2000,17h56m03.628301s,"57d48'47.997990""",0,20cm,L,0.74,6.0,,S,S,S,X
1756+578,J2000,17h56m03.628301s,"57d48'47.997990""",1,6cm,C,0.47,,,S,S,S,S
1756+578,J2000,17h56m03.628301s,"57d48'47.997990""",2,3.7cm,X,0.27,,,S,S,S,S
1756+155,J2000,17h56m53.1049s,"15d35'20.826""",0,20cm,L,0.16,,,X,X,X,X
1756+155,J2000,17h56m53.1049s,"15d35'20.826""",1,3.7cm,X,0.54,,,S,S,S,S
1756+155,J2000,17h56m53.1049s,"15d35'20.826""",2,0.7cm,Q,0.32,,,W,W,W,W
1759+237,J2000,17h59m00.358091s,"23d43'46.953790""",0,20cm,L,0.7,6.0,90.0,S,S,S,X
1759+237,J2000,17h59m00.358091s,"23d43'46.953790""",1,6cm,C,1.0,,90.0,X,S,S,S
1759+237,J2000,17h59m00.358091s,"23d43'46.953790""",2,3.7cm,X,0.55,,,S,S,S,S
1759+237,J2000,17h59m00.358091s,"23d43'46.953790""",3,0.7cm,Q,0.18,,,W,W,W,W
1800+388,J2000,18h00m24.765367s,"38d48'30.697590""",0,20cm,L,0.4,60.0,,S,X,X,X
1800+388,J2000,18h00m24.765367s,"38d48'30.697590""",1,6cm,C,0.8,,,P,P,S,S
1800+388,J2000,18h00m24.765367s,"38d48'30.697590""",2,3.7cm,X,1.05,,,P,P,P,P
1800+388,J2000,18h00m24.765367s,"38d48'30.697590""",3,2cm,U,1.9,,,P,P,P,P
1800+388,J2000,18h00m24.765367s,"38d48'30.697590""",4,0.7cm,Q,0.9,,,S,S,S,S
1800+784,J2000,18h00m45.683918s,"78d28'04.018510""",0,20cm,L,1.75,,,P,S,S,S
1800+784,J2000,18h00m45.683918s,"78d28'04.018510""",1,6cm,C,2.1,,,P,P,P,P
1800+784,J2000,18h00m45.683918s,"78d28'04.018510""",2,3.7cm,X,2.85,,,P,P,P,P
1800+784,J2000,18h00m45.683918s,"78d28'04.018510""",3,2cm,U,3.0,,,P,P,P,P
1800+784,J2000,18h00m45.683918s,"78d28'04.018510""",4,0.7cm,Q,2.4,,,S,S,S,S
1801+440,J2000,18h01m32.314854s,"44d04'21.900310""",0,20cm,L,0.45,,,X,X,X,X
1801+440,J2000,18h01m32.314854s,"44d04'21.900310""",1,6cm,C,0.6,100.0,,S,X,X,X
1801+440,J2000,18h01m32.314854s,"44d04'21.900310""",2,3.7cm,X,0.45,80.0,,S,S,X,X
1801+440,J2000,18h01m32.314854s,"44d04'21.900310""",3,2cm,U,1.0,60.0,,S,S,S,X
1801+440,J2000,18h01m32.314854s,"44d04'21.900310""",4,0.7cm,Q,1.0,,,S,S,S,S
1801+138,J2000,18h01m38.8991s,"13d51'23.750""",0,20cm,L,1.6,,,X,X,S,S
1801+138,J2000,18h01m38.8991s,"13d51'23.750""",1,3.7cm,X,0.12,,,X,X,X,X
1803+036,J2000,18h03m56.2829s,"03d41'07.575""",0,0.7cm,Q,0.12,,,W,W,W,W
1803+095,J2000,18h03m33.6521s,"09d34'25.910""",0,0.7cm,Q,0.26,,,W,W,W,W
1804+010,J2000,18h04m15.984606s,"01d01'32.407340""",0,20cm,L,1.05,6.0,,S,S,S,X
1804+010,J2000,18h04m15.984606s,"01d01'32.407340""",1,6cm,C,1.2,,,P,P,P,P
1804+010,J2000,18h04m15.984606s,"01d01'32.407340""",2,3.7cm,X,0.9,,,P,P,P,P
1804+010,J2000,18h04m15.984606s,"01d01'32.407340""",3,2cm,U,0.6,,,S,S,S,S
1804+010,J2000,18h04m15.984606s,"01d01'32.407340""",4,0.7cm,Q,0.35,,,W,W,W,W
1805+110,J2000,18h05m06.4458s,"11d01'31.642""",0,90cm,P,8.0,1.0,5.0,X,S,S,X
1805+110,J2000,18h05m06.4458s,"11d01'31.642""",1,20cm,L,1.2,,5.0,X,X,X,S
1805+110,J2000,18h05m06.4458s,"11d01'31.642""",2,6cm,C,0.0,,,X,X,X,X
1805+110,J2000,18h05m06.4458s,"11d01'31.642""",3,2cm,U,0.0,,,X,X,X,X
1806+616,J2000,18h06m19.945834s,"61d41'18.329680""",0,0.7cm,Q,0.27,,,W,W,W,W
1806+698,J2000,18h06m50.680650s,"69d49'28.108520""",0,20cm,L,0.0,,,X,X,X,X
1806+698,J2000,18h06m50.680650s,"69d49'28.108520""",1,6cm,C,1.4,200.0,,S,X,X,X
1806+698,J2000,18h06m50.680650s,"69d49'28.108520""",2,3.7cm,X,1.55,100.0,,P,S,X,X
1806+698,J2000,18h06m50.680650s,"69d49'28.108520""",3,2cm,U,1.6,50.0,,P,P,S,X
1806+698,J2000,18h06m50.680650s,"69d49'28.108520""",4,0.7cm,Q,0.7,,,S,S,S,S
1807-251,J2000,18h07m40.6899s,"-25d06'25.906""",0,0.7cm,Q,0.18,,,W,W,W,W
1808+457,J2000,18h08m21.885902s,"45d42'20.866210""",0,20cm,L,0.29,10.0,,S,S,X,X
1808+457,J2000,18h08m21.885902s,"45d42'20.866210""",1,6cm,C,0.57,,,S,S,S,S
1808+457,J2000,18h08m21.885902s,"45d42'20.866210""",2,3.7cm,X,0.42,,,S,S,S,S
1808+457,J2000,18h08m21.885902s,"45d42'20.866210""",3,0.7cm,Q,0.34,,,W,W,W,W
1809+279,J2000,18h09m11.978599s,"27d58'11.799580""",0,2cm,U,0.3,,,W,W,W,W
1809+279,J2000,18h09m11.978599s,"27d58'11.799580""",1,0.7cm,Q,0.1,,,W,W,W,W
1810+567,J2000,18h10m03.319173s,"56d49'22.968420""",0,20cm,L,0.68,15.0,,S,S,X,X
1810+567,J2000,18h10m03.319173s,"56d49'22.968420""",1,6cm,C,0.59,,,S,S,S,S
1810+567,J2000,18h10m03.319173s,"56d49'22.968420""",2,3.7cm,X,0.44,,,S,S,S,S
1810+567,J2000,18h10m03.319173s,"56d49'22.968420""",3,0.7cm,Q,0.5,,,W,W,W,W
1811-209,J2000,18h11m06.8000s,"-20d55'03.444""",0,20cm,L,1.1,6.0,75.0,S,S,S,X
1811-209,J2000,18h11m06.8000s,"-20d55'03.444""",1,6cm,C,0.31,,,S,S,S,S
1811-209,J2000,18h11m06.8000s,"-20d55'03.444""",2,3.7cm,X,0.15,,,X,X,X,X
1811-209,J2000,18h11m06.8000s,"-20d55'03.444""",3,2cm,U,0.0,,,X,X,X,X
1811+170,J2000,18h11m43.1843s,"17d04'57.279""",0,0.7cm,Q,0.22,,,W,W,W,W
1812-068,J2000,18h12m50.941918s,"-06d48'23.853810""",0,20cm,L,1.3,,15.0,X,X,S,S
1812-068,J2000,18h12m50.941918s,"-06d48'23.853810""",1,3.7cm,X,0.5,,,X,X,X,X
1812-068,J2000,18h12m50.941918s,"-06d48'23.853810""",2,0.7cm,Q,0.13,,,W,W,W,W
1812+560,J2000,18h12m57.6692s,"56d03'49.198""",0,0.7cm,Q,0.12,,,W,W,W,W
1813+062,J2000,18h13m33.4119s,"06d15'42.025""",0,0.7cm,Q,0.43,,,W,W,W,W
1813+430,J2000,18h13m14.689424s,"43d04'15.676480""",0,0.7cm,Q,0.28,,,W,W,W,W
1813+298,J2000,18h13m37.2670s,"29d52'37.866""",0,0.7cm,Q,0.1,,,W,W,W,W
1814+412,J2000,18h14m22.706202s,"41d13'05.608520""",0,20cm,L,0.67,,,X,X,X,X
1814+412,J2000,18h14m22.706202s,"41d13'05.608520""",1,6cm,C,0.5,60.0,,S,S,X,X
1814+412,J2000,18h14m22.706202s,"41d13'05.608520""",2,3.7cm,X,0.38,60.0,,S,S,X,X
1814+412,J2000,18h14m22.706202s,"41d13'05.608520""",3,0.7cm,Q,0.28,,,W,W,W,W
1815+614,J2000,18h15m36.792025s,"61d27'11.647860""",0,0.7cm,Q,0.11,,,W,W,W,W
1818-111,J2000,18h18m19.3166s,"-11d08'48.329""",0,0.7cm,Q,0.11,,,W,W,W,W
1820-097,J2000,18h20m38.1071s,"-09d47'17.071""",0,20cm,L,1.0,6.0,12.0,X,X,S,X
1820-097,J2000,18h20m38.1071s,"-09d47'17.071""",1,6cm,C,0.33,,12.0,X,X,X,S
1820-097,J2000,18h20m38.1071s,"-09d47'17.071""",2,2cm,U,0.0,,,X,X,X,X
1820-254,J2000,18h20m57.848685s,"-25d28'12.584560""",0,20cm,L,1.25,16.0,,S,S,X,X
1820-254,J2000,18h20m57.848685s,"-25d28'12.584560""",1,6cm,C,1.3,,,P,P,P,P
1820-254,J2000,18h20m57.848685s,"-25d28'12.584560""",2,3.7cm,X,1.31,,,P,P,P,P
1820-254,J2000,18h20m57.848685s,"-25d28'12.584560""",3,0.7cm,Q,0.53,,,W,W,W,W
1821+397,J2000,18h21m59.700633s,"39d45'59.656800""",0,20cm,L,0.62,,,X,X,X,X
1821+397,J2000,18h21m59.700633s,"39d45'59.656800""",1,6cm,C,0.35,,,S,S,S,S
1821+397,J2000,18h21m59.700633s,"39d45'59.656800""",2,3.7cm,X,0.25,,,S,S,S,S
1821+397,J2000,18h21m59.700633s,"39d45'59.656800""",3,2cm,U,0.1,,,W,W,W,W
1821+397,J2000,18h21m59.700633s,"39d45'59.656800""",4,1.3cm,K,0.11,,,X,X,X,X
1821+683,J2000,18h21m59.4951s,"68d18'43.003""",0,0.7cm,Q,0.15,,,W,W,W,W
1822+829,J2000,18h22m03.0620s,"82d57'20.680""",0,0.7cm,Q,0.1,,,W,W,W,W
1822+160,J2000,18h22m09.968988s,"16d00'14.843810""",0,0.7cm,Q,0.3,,,W,W,W,W
1822-131,J2000,18h22m10.9030s,"-13d09'44.230""",0,3.7cm,X,0.1,,100.0,X,X,W,W
1822-096,J2000,18h22m28.7042s,"-09d38'56.835""",0,90cm,P,13.0,,,S,S,S,S
1822-096,J2000,18h22m28.7042s,"-09d38'56.835""",1,20cm,L,5.6,,50.0,X,P,P,P
1822-096,J2000,18h22m28.7042s,"-09d38'56.835""",2,3.7cm,X,1.3,,50.0,X,X,S,P
1822-096,J2000,18h22m28.7042s,"-09d38'56.835""",3,0.7cm,Q,0.2,,,W,W,W,W
1823+689,J2000,18h23m32.8571s,"68d57'52.611""",0,0.7cm,Q,0.46,,,W,W,W,W
1823+796,J2000,18h23m14.108717s,"79d38'49.002450""",0,20cm,L,0.29,20.0,,S,S,X,X
1823+796,J2000,18h23m14.108717s,"79d38'49.002450""",1,6cm,C,0.6,,,S,S,S,S
1823+796,J2000,18h23m14.108717s,"79d38'49.002450""",2,3.7cm,X,0.5,,,P,P,P,P
1823+796,J2000,18h23m14.108717s,"79d38'49.002450""",3,2cm,U,0.4,,,X,X,W,W
1823+796,J2000,18h23m14.108717s,"79d38'49.002450""",4,0.7cm,Q,0.2,,,W,W,W,W
1824+013,J2000,18h24m48.1427s,"01d19'34.171""",0,0.7cm,Q,0.36,,,W,W,W,W
1824+107,J2000,18h24m02.855259s,"10d44'23.774010""",0,20cm,L,1.0,6.0,,P,P,S,X
1824+107,J2000,18h24m02.855259s,"10d44'23.774010""",1,6cm,C,1.3,,,P,P,P,P
1824+107,J2000,18h24m02.855259s,"10d44'23.774010""",2,3.7cm,X,0.75,,,P,P,P,P
1824+107,J2000,18h24m02.855259s,"10d44'23.774010""",3,2cm,U,0.5,,,S,S,S,S
1824+107,J2000,18h24m02.855259s,"10d44'23.774010""",4,0.7cm,Q,0.22,,,W,W,W,W
1824+114,J2000,18h24m03.9476s,"11d27'37.698""",0,0.7cm,Q,0.14,,,W,W,W,W
1824+568,J2000,18h24m07.068372s,"56d51'01.490880""",0,20cm,L,0.0,,,X,X,X,X
1824+568,J2000,18h24m07.068372s,"56d51'01.490880""",1,6cm,C,1.3,200.0,,S,X,X,X
1824+568,J2000,18h24m07.068372s,"56d51'01.490880""",2,3.7cm,X,1.05,100.0,,S,S,X,X
1824+568,J2000,18h24m07.068372s,"56d51'01.490880""",3,2cm,U,1.2,,,S,S,S,S
1824+568,J2000,18h24m07.068372s,"56d51'01.490880""",4,0.7cm,Q,1.9,,,S,S,S,S
1825-173,J2000,18h25m36.5367s,"-17d18'49.945""",0,3.7cm,X,0.31,,,W,W,W,W
1825-173,J2000,18h25m36.5367s,"-17d18'49.945""",1,0.7cm,Q,0.13,,,W,W,W,W
1825-076,J2000,18h25m37.6020s,"-07d37'30.223""",0,3.7cm,X,0.24,,,W,W,W,W
1825-076,J2000,18h25m37.6020s,"-07d37'30.223""",1,0.7cm,Q,0.14,,,W,W,W,W
1826+185,J2000,18h26m17.710884s,"18d31'52.889930""",0,0.7cm,Q,0.13,,,W,W,W,W
